,time,x,y,z,qx,qy,qz,qw,cov_pose_0,cov_pose_1,cov_pose_2,cov_pose_3,cov_pose_4,cov_pose_5,cov_pose_6,cov_pose_7,cov_pose_8,cov_pose_9,cov_pose_10,cov_pose_11,cov_pose_12,cov_pose_13,cov_pose_14,cov_pose_15,cov_pose_16,cov_pose_17,cov_pose_18,cov_pose_19,cov_pose_20,cov_pose_21,cov_pose_22,cov_pose_23,cov_pose_24,cov_pose_25,cov_pose_26,cov_pose_27,cov_pose_28,cov_pose_29,cov_pose_30,cov_pose_31,cov_pose_32,cov_pose_33,cov_pose_34,cov_pose_35
0,1582326881388496819,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1582326881559687304,0.08028368090639999,6.97371050733e-05,0.035984781798,-3.56143583695e-05,-0.00017710489155999998,-0.000748031984623,0.999999700586,0.0010160825991799999,3.48896193046e-09,-1.60833542319e-05,-2.24109610393e-07,5.5958516801100004e-09,-7.30482672871e-08,3.48896193045e-09,0.00100000000076,-3.4891257309699997e-09,-4.8618378784499996e-11,1.21396505794e-12,-1.58471041114e-11,-1.60833542319e-05,-3.4891257309699997e-09,0.0010160841093199999,2.2412013193800002e-07,-5.59611439531e-09,7.30516967723e-08,-2.24109610393e-07,-4.86183787835e-11,2.2412013193800002e-07,0.0010000031229500002,-7.79777028288e-11,1.01792120388e-09,5.5958516801500004e-09,1.21396505921e-12,-5.59611439536e-09,-7.79777028373e-11,0.00100000000195,-2.54167417094e-11,-7.30482672871e-08,-1.58471041122e-11,7.30516967723e-08,1.01792120388e-09,-2.54167417365e-11,0.00100000033179
2,1582326881631129089,0.161496553228,0.00131821640277,0.07777607920360001,0.000822598049072,-0.0015360919854100002,-0.00104151584968,0.999997940536,0.00179515375153,-2.38849772939e-07,-0.0007951161535199999,1.29524779528e-05,-3.1176077269e-07,3.5885138284300003e-06,-2.38849772939e-07,0.00100000007175,2.38838479179e-07,-3.89068958309e-09,9.364728472290001e-11,-1.07792450386e-09,-0.0007951161535199999,2.38838479179e-07,0.00179507855729,-1.29518655085e-05,3.1174603140999997e-07,-3.5883441493400003e-06,1.29524779528e-05,-3.890689583079999e-09,-1.29518655085e-05,0.0010002109864700002,-5.078356892670001e-09,5.8454287811300006e-08,-3.1176077269e-07,9.364728472399999e-11,3.1174603140999997e-07,-5.078356892670001e-09,0.00100000012223,-1.40697046556e-09,3.5885138284300003e-06,-1.07792450386e-09,-3.5883441493400003e-06,5.8454287811300006e-08,-1.4069704655899999e-09,0.00100001619489
3,1582326881721609512,0.251971049087,0.0008392547239610001,0.118693707581,0.00136650109653,-0.0024526151863200002,-0.0014705897935499998,0.9999949771269999,1.8823424922999998,2.9262210415e-05,-1.88134774229,-0.00153707120265,5.05230079653e-05,-0.00035086790188,2.92622104154e-05,0.00100000045514,-2.92622920732e-05,-2.39074496746e-08,7.85829744423e-10,-5.45736377871e-09,-1.88134774229,-2.92622920728e-05,1.88235299229,0.0015370754919300002,-5.05231489524e-05,0.000350868880996,-0.00153707120265,-2.39074496743e-08,0.0015370754919300002,0.00100125579893,-4.12776838521e-08,2.86661758888e-07,5.05230079656e-05,7.85829744417e-10,-5.05231489527e-05,-4.12776838523e-08,0.00100000135678,-9.42247457546e-09,-0.00035086790188,-5.4573637786300005e-09,0.000350868880996,2.86661758888e-07,-9.42247457551e-09,0.0010000654364
4,1582326881872502263,0.34060060318700003,0.0024983453472800002,0.15698184149,0.0009251115952879999,-0.0024459378798400004,-0.0010907574303399999,0.999995979969,0.336635884649,-1.19600306671e-05,-0.335634577119,0.000627505444546,-9.48869616697e-06,0.000151484800116,-1.19600306671e-05,0.00100000042618,1.19599840746e-05,-2.2360494523299997e-08,3.3811967771400003e-10,-5.39800104173e-09,-0.335634577119,1.19599840747e-05,0.336633269594,-0.000627502999985,9.48865920204e-06,-0.000151484209979,0.000627505444545,-2.2360494523400003e-08,-0.000627502999985,0.0010011731852899999,-1.7740083163699998e-08,2.83216250663e-07,-9.48869616515e-06,3.38119677654e-10,9.48865920022e-06,-1.7740083160299998e-08,0.00100000026825,-4.28259702755e-09,0.000151484800115,-5.39800104174e-09,-0.000151484209979,2.83216250663e-07,-4.2825970284400005e-09,0.00100006837065
5,1582326881962961741,0.415009539677,0.0139079997404,0.19145351329100002,-0.0012651006414200001,-0.0032781192715300002,0.00312073466451,0.9999889581710001,0.0429029496356,-5.35339024206e-06,-0.041902164256000005,0.00023649661290400003,-7.60305448263e-06,5.6726195863000005e-05,-5.35339024207e-06,0.00100000068393,5.35328990443e-06,-3.02140701505e-08,9.71342543458e-10,-7.24716197891e-09,-0.041902164256000005,5.3532899044199995e-06,0.04290137889119999,-0.00023649218029,7.602911979930001e-06,-5.6725132654e-05,0.00023649661290400003,-3.02140701504e-08,-0.00023649218029,0.00100133476637,-4.29109799788e-08,3.2015772878e-07,-7.60305448265e-06,9.71342543455e-10,7.60291197995e-06,-4.2910979978900005e-08,0.00100000137953,-1.0292649121200001e-08,5.67261958631e-05,-7.247161978899999e-09,-5.67251326541e-05,3.2015772878e-07,-1.02926491213e-08,0.00100007679319
6,1582326882073642976,0.497315092777,0.0146946740388,0.220568495561,-0.00441459309313,-0.0029170522071999996,0.0068512477347200005,0.9999625267219999,0.00248277886662,6.07912369817e-07,-0.001482846331,-3.49594235854e-05,4.00882827119e-07,-8.73173842884e-06,6.07912369817e-07,0.00100000024923,-6.07940028986e-07,-1.4332727905500001e-08,1.6435466875200001e-10,-3.57985396231e-09,-0.001482846331,-6.07940028986e-07,0.00248291379845,3.49610141907e-05,-4.00901066732e-07,8.73213571082e-06,-3.49594235854e-05,-1.4332727905500001e-08,3.49610141907e-05,0.00100082423706,-9.451599882439999e-09,2.05867880399e-07,4.0088282711500003e-07,1.6435466874799998e-10,-4.00901066727e-07,-9.45159988231e-09,0.00100000010838,-2.36070533898e-09,-8.73173842884e-06,-3.57985396231e-09,8.73213571082e-06,2.05867880399e-07,-2.36070533905e-09,0.00100005141917
7,1582326882164134117,0.556170782351,0.0254608000937,0.258935831148,-0.00657450752174,-0.000645172923455,0.0140140008788,0.9998799709739999,0.001,0.0,3.21872519957e-20,-1.2705494208799999e-21,-2.51462906216e-21,-4.02340649946e-21,6.7762635780299994e-21,0.001,6.7762635780299994e-21,6.7762635780299994e-21,8.470329472539999e-22,0.0,-2.7952087259400006e-20,0.0,0.001,4.2351647362699994e-22,1.7734752333099997e-21,-8.99972506458e-22,-2.11758236814e-21,0.0,-2.11758236814e-21,0.001,-3.81164826264e-21,9.423241538200002e-21,-2.03817302933e-21,0.0,-3.70576914424e-22,4.34104385468e-21,0.001,4.7228704254300007e-20,2.43521972336e-21,-1.69406589451e-21,3.1763735521999996e-22,-1.0587911840700001e-20,8.019019730329999e-20,0.001
8,1582326882254632888,0.631229365096,0.0315391611881,0.29065809808000004,-0.0118880396285,-0.00206684186831,0.0224318410677,0.99967555434,0.00362206519412,9.952241591790002e-07,-0.00262225078301,-4.36246057447e-05,1.8614207409200001e-06,-1.04408632945e-05,9.952241591790002e-07,0.0010000003777399999,-9.952946008079999e-07,-1.65580404595e-08,7.06515953887e-10,-3.9629065733e-09,-0.00262225078301,-9.95294600809e-07,0.0036224363850399996,4.36276934795e-05,-1.86155249165e-06,1.04416022953e-05,-4.36246057447e-05,-1.65580404595e-08,4.36276934795e-05,0.00100072580431,-3.09693847925e-08,1.73709847444e-07,1.8614207409200001e-06,7.06515953882e-10,-1.86155249165e-06,-3.09693847925e-08,0.00100000132143,-7.41203519013e-09,-1.04408632945e-05,-3.9629065733e-09,1.04416022953e-05,1.73709847444e-07,-7.41203519022e-09,0.00100004157472
9,1582326882345163798,0.691101346691,0.045085035115,0.321807314327,-0.018129379132499998,-0.0029222031660100004,0.036269624973499996,0.9991733094799999,0.5945523825410001,8.401062279939999e-06,-0.593554891518,-0.0006878337823590001,2.54869591025e-05,-0.000136228449301,8.40106227981e-06,0.00100000011891,-8.401097791539999e-06,-9.735508800460001e-09,3.60739063716e-10,-1.9281595365899997e-09,-0.593554891518,-8.40109779167e-06,0.594557400506,0.0006878366898680001,-2.54870668372e-05,0.000136229025146,-0.0006878337823590001,-9.73550880061e-09,0.0006878366898680001,0.0010007970910800002,-2.9535373786699997e-08,1.5786732949600002e-07,2.54869591022e-05,3.60739063716e-10,-2.54870668369e-05,-2.9535373786299996e-08,0.0010000010944,-5.8496082536700005e-09,-0.000136228449301,-1.9281595366099997e-09,0.000136229025146,1.5786732949600002e-07,-5.8496082537199994e-09,0.0010000312663099998
