,time,x,y,z,qx,qy,qz,qw,cov_pose_0,cov_pose_1,cov_pose_2,cov_pose_3,cov_pose_4,cov_pose_5,cov_pose_6,cov_pose_7,cov_pose_8,cov_pose_9,cov_pose_10,cov_pose_11,cov_pose_12,cov_pose_13,cov_pose_14,cov_pose_15,cov_pose_16,cov_pose_17,cov_pose_18,cov_pose_19,cov_pose_20,cov_pose_21,cov_pose_22,cov_pose_23,cov_pose_24,cov_pose_25,cov_pose_26,cov_pose_27,cov_pose_28,cov_pose_29,cov_pose_30,cov_pose_31,cov_pose_32,cov_pose_33,cov_pose_34,cov_pose_35
0,1582326881393854302,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1582326881585142269,-0.08080367649230001,-0.000169607398169,-0.0376420449049,0.00038928533023099995,0.00106031306623,-0.0007789274960300001,0.9999990600740001,0.0035371566253800005,-1.02897452198e-06,-0.00253746205282,1.07975048013e-05,-1.42246354337e-06,-3.70223774251e-06,-1.02897452199e-06,0.00100000041731,1.0290983917700002e-06,-4.3790585218000004e-09,5.76897275451e-10,1.50148724492e-09,-0.00253746205282,1.0290983917700002e-06,0.0035377675170300007,-1.07988046242e-05,1.42263478207e-06,3.7026834245e-06,1.07975048013e-05,-4.3790585218000004e-09,-1.07988046242e-05,0.00100004595148,-6.0536495009800005e-09,-1.5755798991799998e-08,-1.42246354337e-06,5.76897275449e-10,1.42263478207e-06,-6.0536495009800005e-09,0.00100000079751,2.07566933981e-09,-3.70223774251e-06,1.50148724492e-09,3.7026834245e-06,-1.5755798991799998e-08,2.07566933981e-09,0.00100000540233
2,1582326881665637299,-0.161885188111,-0.0006462417227519999,-0.0764734983132,0.00011033028311299999,0.00202730666732,-0.0012286729744300001,0.999997189533,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0
3,1582326881797609903,-0.247180675332,-0.00236653156786,-0.111793370428,0.000268142762955,0.00263986674437,-0.00191782015972,0.9999946545630001,0.0184985078302,-1.38829535113e-05,-0.017501757897299998,0.000140572285647,-1.54817723497e-05,-3.15598741602e-05,-1.38829535113e-05,0.00100001101445,1.38855320472e-05,-1.11527138516e-07,1.22829173715e-08,2.50389501802e-08,-0.017501757897299998,1.38855320472e-05,0.018505008568099997,-0.000140598394693,1.54846478406e-05,3.15657359005e-05,0.000140572285647,-1.11527138516e-07,-0.000140598394693,0.00100112927157,-1.2437106901800001e-07,-2.53532683384e-07,-1.54817723497e-05,1.22829173715e-08,1.54846478405e-05,-1.24371069017e-07,0.00100001369747,2.79225401318e-08,-3.15598741602e-05,2.50389501802e-08,3.15657359005e-05,-2.53532683384e-07,2.79225401318e-08,0.00100005692061
4,1582326881878095019,-0.323808749343,0.00118015228476,-0.150444809559,0.000118370994359,0.00143100298127,-0.00119770589844,0.999998261109,0.113631056035,3.50753500957e-05,-0.11262553387499999,-0.00040782084699,1.77947993457e-05,8.12331564394e-05,3.50753500956e-05,0.0010000109231,-3.5073630395e-05,-1.2700279557e-07,5.54162270075e-09,2.52974756856e-08,-0.11262553387499999,-3.50736303951e-05,0.113620011985,0.000407800852042,-1.77939268889e-05,-8.12291736792e-05,-0.0004078208469890001,-1.2700279557e-07,0.000407800852042,0.0010014766606,-6.44324078691e-08,-2.9413357051799996e-07,1.77947993457e-05,5.54162270076e-09,-1.77939268889e-05,-6.44324078692e-08,0.00100000281143,1.28341841935e-08,8.12331564394e-05,2.52974756856e-08,-8.12291736791e-05,-2.9413357051799996e-07,1.2834184193600001e-08,0.00100005858798
5,1582326882019528793,-0.399497668907,0.00665302949214,-0.190895459859,-0.0016324336420799998,0.00124456513859,0.0032292580574499997,0.999992689895,0.20101768640099998,5.48216543611e-05,-0.200008835818,-0.000569238944771,3.14694581042e-05,0.000121970513343,5.4821654361e-05,0.00100001502574,-5.48192285576e-05,-1.5601930629500002e-07,8.62527602515e-09,3.34301703266e-08,-0.200008835818,-5.48192285576e-05,0.200999985627,0.0005692137565160001,-3.14680656121e-05,-0.00012196511626899999,-0.000569238944771,-1.5601930629500002e-07,0.0005692137565160001,0.00100162002162,-8.95602856232e-08,-3.4712113492399996e-07,3.14694581036e-05,8.625276024979999e-09,-3.14680656115e-05,-8.95602856214e-08,0.0010000049512000001,1.91900327844e-08,0.000121970513343,3.34301703266e-08,-0.00012196511626899999,-3.4712113492399996e-07,1.91900327847e-08,0.00100007437745
6,1582326882131332312,-0.477919771616,0.00934917476215,-0.223162919203,-0.00421033813578,0.00208502655513,0.00712253654283,0.999963606567,0.239828795224,-7.00284666118e-05,-0.238839363683,0.000647162473262,-3.82942425329e-05,-0.000141818893494,-7.00284666117e-05,0.00100002053348,7.00315654546e-05,-1.89758507171e-07,1.1228491447600002e-08,4.1583593965800006e-08,-0.238839363683,7.00315654547e-05,0.23984993260899998,-0.000647191110972,3.82959370987e-05,0.000141825169149,0.000647162473262,-1.89758507171e-07,-0.0006471911109709999,0.00100175363807,-1.0376720565e-07,-3.84291457747e-07,-3.82942425328e-05,1.1228491447700001e-08,3.82959370986e-05,-1.0376720565e-07,0.00100000614017,2.27394988032e-08,-0.000141818893494,4.1583593965800006e-08,0.000141825169149,-3.84291457747e-07,2.27394988033e-08,0.00100008421346
7,1582326882232030101,-0.5563541493899999,0.0155059910849,-0.259943489747,-0.00645047731171,0.000795016359277,0.0129032739893,0.999895638945,11.9637326275,0.000444738873404,-11.9626567045,-0.00413666484967,0.000273535369682,0.00119098930166,0.00044473887339499996,0.00100001653407,-0.00044473605080300004,-1.53788914469e-07,1.01692327276e-08,4.4277445358199996e-08,-11.9626567045,-0.00044473605081199994,11.963580781900001,0.0041366385958,-0.00027353363365499996,-0.0011909817429,-0.00413666484962,-1.5378891447e-07,0.00413663859575,0.00100143044207,-9.45874311606e-08,-4.11839312462e-07,0.00027353536966000003,1.01692327269e-08,-0.00027353363363300003,-9.45874311541e-08,0.00100000625456,2.72327158883e-08,0.00119098930166,4.4277445358800006e-08,-0.0011909817428900002,-4.11839312466e-07,2.7232715890400003e-08,0.00100011857287
8,1582326882332642356,-0.628999006343,0.014597817882299998,-0.29456563471999997,-0.00952277786597,0.0006596390692000001,0.0217757707228,0.9997173288179999,0.0527983618382,-3.27092613775e-05,-0.051804791450699994,0.000294295641463,-2.88519510428e-05,-0.000100679826688,-3.27092613775e-05,0.0010000206550100001,3.27133215035e-05,-1.8583971996900002e-07,1.8219224979700003e-08,6.35765813765e-08,-0.051804791450699994,3.27133215035e-05,0.0528112218612,-0.000294332171709,2.88555323697e-05,0.00010069232384499999,0.000294295641463,-1.8583971996900002e-07,-0.000294332171709,0.00100167205914,-1.6392416938099998e-07,-5.72018749744e-07,-2.88519510428e-05,1.8219224979700003e-08,2.88555323697e-05,-1.6392416938099998e-07,0.0010000160706799999,5.607917562459999e-08,-0.000100679826688,6.35765813764e-08,0.00010069232384499999,-5.72018749744e-07,5.607917562459999e-08,0.0010001956901200002
9,1582326882433129397,-0.691793574458,0.023031663119099998,-0.325023357135,-0.015892524659,0.0007750423276519999,0.0350596155164,0.9992585727779999,0.575893250145,-0.00011122649784700002,-0.5749150275029999,0.0009029215920529999,-8.6068345486e-05,-0.00031160608914,-0.00011122649784700002,0.00100002151936,0.000111230711185,-1.746912257e-07,1.66519273648e-08,6.0287460314e-08,-0.5749150275029999,0.000111230711185,0.575936805687,-0.0009029557953550001,8.60716058151e-05,0.000311617892997,0.0009029215920529999,-1.74691225701e-07,-0.0009029557953550001,0.00100141811963,-1.35178083082e-07,-4.89405408794e-07,-8.60683454859e-05,1.66519273648e-08,8.607160581500001e-05,-1.35178083082e-07,0.00100001288545,4.66511313689e-08,-0.00031160608914,6.02874603141e-08,0.000311617892997,-4.89405408794e-07,4.6651131369e-08,0.00100016889806
10,1582326882523642710,-0.763287002809,0.0334823730222,-0.35056695997500004,-0.0230483988834,0.0026155789694,0.0482543616569,0.998565720034,0.015367291557,-2.21190046546e-05,-0.0143720516436,0.00017549405317200003,-1.76380836514e-05,-6.78502785797e-05,-2.21190046546e-05,0.0010000340530700001,2.21263329932e-05,-2.7017992664499997e-07,2.71545164122e-08,1.04458145209e-07,-0.0143720516436,2.21263329932e-05,0.0153768133072,-0.00017555219683000004,1.76439273976e-05,6.78727583351e-05,0.00017549405317200003,-2.7017992664499997e-07,-0.00017555219683000004,0.00100214363038,-2.15446229227e-07,-8.287797564010001e-07,-1.76380836514e-05,2.71545164122e-08,1.76439273976e-05,-2.15446229227e-07,0.00100002165349,8.3296763667e-08,-6.78502785797e-05,1.04458145209e-07,6.78727583351e-05,-8.287797564010001e-07,8.3296763667e-08,0.00100032042646
